gml_id;dist_m;x;y
id001ad754-74d5-40ad-b8fc-38e05496334d;36,50207366;683917,75;7660256,64
id00aa97c6-0e31-444a-8622-21b35e97d451;382,633892;659242;7672797
id00cc0635-415e-4e60-9671-37cb1c37834f;16,68493307;632854;7683365
id0103d11d-c658-44e8-8981-e89d8c3e5fad;56,5382817;682015;7662400
id0137833a-accd-4889-854e-260a2659fe3c;24,82799686;632961;7677023
id016e7edb-f252-4aef-b8ae-543f9196e57a;48,10908908;681849;7662489
id017a67ae-c157-4599-aa91-ce2e04b4d812;36,03583824;683841;7663299
id01d7f9fa-17a5-40b6-a7be-0d92bbc670cb;60,44729096;647691;7658867
id02cbecc6-6f3c-47bf-bc04-790a8380e287;23,9019682;645783;7686852
id0306c1c6-81ad-4be3-91e3-e2f8384782c1;71,58438318;654223;7661948
id034c34d3-ace4-4a46-abed-8a5140ad52e5;20,38252268;647770;7667751
id03a233ca-5557-443e-9884-b27ea79b615b;20,4005796;648299;7667485
id03bba6cc-2e42-4d57-b333-979f4e2290d9;85,54049473;645403;7686915
id0519effc-b37c-4442-80a3-b03e8518b9a6;531,0571973;633152;7676443
id05a68592-3d8b-45ae-9945-c7f62831ebeb;54,98802245;643816;7672638
id061eb336-19e4-46f1-a355-b60d5aa4651f;77,34398514;637261;7675928
id06333d63-39e4-4a7e-9e8f-04338a8c4ad8;38,17214604;686723;7660382
id06b5c620-90c9-433d-a2ed-84f2f8af364e;26,00515947;639758,49;7692215,07
id06d2e230-0817-4173-ac1b-75bef11d9c90;14,18595425;648099,731;7667978,342
id070055ac-ddb4-4dbb-8eb3-23cff5431848;14,4335176;648250,203;7667322,984
id074a6fbc-c0c9-4709-bb4e-86fec656b7d7;685,3723433;641181;7696270
id07a9ef83-d6d3-4828-aa47-7c61fcedf754;23,62439197;648178,9234;7667353,193
id07cb3a56-e979-449a-a52a-6bd2e7d895dd;1328,999453;655372;7664324
id07cef2b6-0f35-459e-a0f4-2f5fdc5c24d2;939,3896939;640775;7696917
id07ea0b28-d35d-497b-9987-df98e2eddd9b;78,78469973;654203;7661653
id0803a052-a562-4866-858f-3e8f903bb90c;12,17499768;651594,908;7663061,515
id082ff095-6a95-4e2d-9f87-d90ddcf59afd;30,07452672;647802,603;7667789,401
id0831c771-7f27-434e-a9a0-32626dd46147;2829,179132;630191;7677478
id083555df-c484-4c3a-9da0-90f95894d93b;20,96729764;647769,11;7667447,43
id085acac1-eb8f-465e-8e30-428b10cd160a;16,01675635;640517;7679435
id088ad64f-9334-49b7-a992-733ce898cd1e;16,27675615;650168,83;7671904,53
id08ac8884-42bf-47ce-8431-e27057f4f0cc;22,6163909;686846,572;7660406,65
id08b5ca5a-306c-4878-b31c-a70fb32754e2;28,11135612;673845;7664575
id08dfab2d-585b-4285-9948-017354cde886;240,9152265;658538,059;7663306,47
id094dd0bd-003e-45b6-a66a-d52f72d725ec;16,81008525;647979,52;7667668,24
id09bf0122-5853-4248-838f-82e7ab80ee6f;21,06200399;648011,396;7667332,227
id09ff23da-228c-411c-9701-a0518abc892c;32,44016058;645619;7689341
id0a5f83e3-0354-4ca5-b12b-bc5dd3cf96a0;187,7083563;647848;7654851
id0a76b399-c37a-4ce8-b5d7-4ccd83324ba5;3304,264037;673534,438;7657658,234
id0a8eb990-3a49-4520-baa2-8bdb7944f424;21,42335167;663630;7670140
id0a8f28aa-acd1-4f72-afe0-5404aff366ca;85,88180365;681720;7652302
id0ae8bf39-9dde-4295-bfa5-0cea3e1caf1b;334,7258624;633318;7678324
id0b0807bc-897c-41ae-b8b3-49ac724f8004;7,833933234;663778,807;7659299,896
id0b21e6d3-bb20-4887-aa27-1ad0eb241114;20,63524877;678642,8129;7660820,759
id0b89dd73-1aac-4b20-a83a-39741d135e41;94,47494578;683266;7661435
id0c0847a2-25ad-4196-a167-2af164cb9096;47,2116495;640187;7698210
id0c088e8e-7ff8-45e3-865d-ff348d69b6db;69,87886963;636168;7678273
id0c0d30a5-02b8-4db1-8e5a-836ebc3b5407;279,8243745;645502;7673697
id0c5d5227-1084-4dd7-bb1d-eb09e90bb186;15,0129602;647825,85;7667855,32
id0c6e754f-b934-4fa8-83c7-503f5a78d98a;73,93601195;640555;7669200
id0c85b156-fd1d-4723-99d0-21e9bdbd1a2a;337,046924;645719;7676768
id0c95c6e8-e281-4bc3-a3e3-eb807c090220;8,575616949;664368;7669522
id0cd7edb3-65c9-437c-bf80-24754978bd40;12,35392494;639731;7693058
id0cdf3770-e776-40d5-b4e5-70a3504368a6;28,00888189;681758,307;7662519,508
id0cdf9873-e57b-4369-ad47-667a5085f8b3;12,10191471;648150,9529;7667897,603
id0d1f3b2e-cfc1-43bf-abb4-613d42314161;20,56812022;647867,18;7667346,32
id0d60ca4f-6ffd-4cf4-a1e8-614470cba3f2;1956,486398;663135,534;7640544,613
id0d652a17-e236-4464-b249-1fbb2eec28b7;38,83929248;685182;7659024
id0d9aa60f-9dbd-4eaf-a3a3-ae796986ffcd;12,48727779;648059,674;7667412,495
id0db53119-4b0f-465a-893d-7417bafc08c3;20,64342855;638840;7684778
id0dbf54af-36b7-4ea3-a1f8-d467870fe815;35,9716588;680234;7663511
id0e926711-dc3e-49b6-9801-5e48f1143189;60,68868748;681279;7662774
id0eb7315b-e151-4f9d-b021-f9da7d1771a2;14,17997997;678951;7658336
id0ee104ee-a740-44b7-ad16-82c2dec5af45;19,30389104;683847;7663326
id0ee5e9b9-19d3-4a85-9959-f5b4a57a7379;16,92379082;647976,03;7667454,28
id0f4ce876-f8f5-4b0f-ab55-c86074cbe42e;3096,46396;673194;7658190
id101fa6b2-a8c6-4666-b535-b3b712e585cb;11,470052;647906,2;7667803,84
id10369716-4523-4be7-99f9-c4ff6bae5236;579,2351854;637889,665;7662167,281
id10aa75c6-f722-4766-b42d-40e78458aa50;41,99279343;638740,85;7680441,05
id10de022b-6287-4206-b2f9-93573814e8ad;53,15645806;639773,365;7693485,189
id10e2b8e2-03c9-42aa-b416-39f74453d306;37,90200003;664996;7669678
id10edb917-efc7-4c3d-a2f0-db698f5500d6;45,07445727;640205;7698186
id11464ce2-3649-4b57-b78e-cbf891bf48b5;21,76082244;686813;7660861
id1159e283-559c-4383-89fc-5469d469d618;16,28855985;647773,97;7667623,07
id11763e46-3523-4848-af32-ffe4cd194efc;19,55832876;681778;7651788
id118ae1c4-6a98-4de6-a549-3a24575a8a6c;116,6705979;681515;7651472
id1214a381-4aed-4779-8d46-e39023c722b5;387,6830884;654424,391;7664197,403
id12c80d91-687c-4533-bf3a-0a81554a8b7b;585,9418655;647283,8;7668070,59
id13586416-58d4-4c9b-a020-9513b8aab7fc;1407,156507;655453;7664320
id139a3fa9-6697-4a5a-8825-f7701598709e;30,37331473;648199;7667337
id13a03a6e-5f94-4c99-bda5-fdddb05f2b3c;97,51075446;645366,91;7679248,618
id13a6838e-fdbf-496a-9334-07568239749b;41,65906189;646092,203;7675590,432
id13b03378-b1c7-42e3-ba22-05d6c10e4f3c;21,2710751;637569;7685509
id13bbb71a-ff7b-4380-8c4b-6260afe8216d;13,12153116;648092,205;7667308,744
id142b3c12-cc6b-4331-adfd-ecf949d13599;13,71920793;639418;7694881
id14948aa8-1288-4837-9f8b-7a70977b2552;47,90245897;644306;7659219
id14989f96-e994-4b08-bdc2-20bccc5dc78c;33,21634676;656296;7647061
id14e64e83-3687-4d0c-b117-0daa45d639f6;327,5423047;645371;7679586
id155cd655-5364-4a5d-a3e5-3bb6c783fe41;31,97117623;639782;7692052
id15884d26-00b0-432c-80a0-a98c6ebf6074;286,0412648;646174,489;7675923,373
id15e89615-18ad-4ef7-a042-976355d984a6;34,65452932;636374,55;7684783,83
id161af324-0f4b-4a7d-a5e3-61416856e1fe;16,60500479;645815;7687360
id16d7f774-1370-4696-b372-75e3674f9098;12,32274403;686665;7660235
id17277e74-19d9-4486-83fd-4de49b9837e8;106,6539825;648462,39;7657078,38
id184c15a3-7a8b-4a31-91f0-7eeb54fb88c8;458,0503735;637703;7662424
id185122f7-c6dd-49c2-a4a5-8599c049c35b;32,05735186;639355;7697581
id18c4f52c-c9a8-4326-9c41-657e6c58744c;57,36525736;639774,309;7693439,297
id190d9fff-d1ad-405a-9098-1c69210808d4;55,14926401;640515;7694303
id191c428e-1507-4c42-b99b-b919adbe6ab6;219,2027115;645387;7663497
id196426a5-43f9-4630-bba3-e462a1ef3840;20,01689821;647801,28;7667647,24
id1a0a4bae-68da-43bd-a9a7-e5ebedfc56eb;39,97432697;682147;7662303
id1a6c43c4-a1dd-4658-9816-cb889958744c;25,03232474;686657,8;7659616,11
id1ab8055e-1526-42cc-b5a5-17ac4fd0767e;287,9020005;656977;7663220
id1b2f113a-d456-40d6-ba34-91dde6dbd047;73,83941344;667396;7658935
id1b57c8b3-46df-4b3d-acd2-ea7e10522d98;22,04257434;648176,957;7667267,523
id1b9287ea-8721-4171-b6a7-7c60e7c369f1;1243,521416;666882;7660863
id1bbba970-c0ef-4dd8-ba50-42b0dd3cff31;45,2845676;653711;7671956
id1beaa864-059b-4a44-8c25-3f2cd68b6fcf;158,2637011;647103;7658463
id1c3357b6-e4db-4fd5-a47b-4824d5ed79c8;62,78382113;656337;7646070
id1c4dfde0-8770-42fe-b7bb-bd4ed2006ed4;11,17119872;645183,89;7662791,73
id1c77f376-17a6-4394-be7a-a80976a62675;19,86398457;679983;7654615
id1d29d1b3-a7e9-4b3f-991c-b069469fc300;9,538621055;648057,55;7667867,27
id1d3eb213-12e5-4ef3-9741-f6274d14c02e;49,01263911;633477;7676995
id1d6bddf6-ed9f-420c-b4cf-67d409b4f44a;459,0292585;658883;7663285
id1d82bfc4-06b6-4d6b-8dae-f3ab09c75461;19,3059473;679784;7655374
id1d846581-aae6-43c9-9de0-e7ba248f58d9;9,859998872;645171;7662870
id1e292b7c-d1d6-43b5-b3e3-9eb470e41bf1;12,96250722;647891,079;7667761,503
id1edaff8c-4d8c-483f-93a5-ce42941832d9;65,76135557;681492;7662695
id1f2bc3bf-3af9-46f0-b1c4-8c114dc9b79f;56,26907263;671051,37;7662662,39
id1f32a679-c882-48ef-b78f-a302f903900d;9,059665493;670816;7660376
id1fcfb42d-41f4-4770-9ff9-3a743456836e;121,8944426;691117,9444;7633465,868
id20070499-8f4b-447c-9f81-a699162ede19;23,49427508;648059,04;7667721,1
id2025e709-a653-45f1-8c23-cfb73a20a314;10,21678434;671266;7661677
id20c0be00-9db9-4cee-aede-27a50479cbdf;13,35001627;677402;7663080
id212b80b1-c13d-4976-acd0-437a2e1d127f;3095,895606;673651;7657831
id2146131f-3bcc-4ccc-9422-eb2ac4e65564;342,6560993;647553;7654225
id2168f2ad-7ef6-4238-b561-5091d599021a;765,164179;673454;7666422
id216bf501-9a9c-400e-b4b1-64e48f98e8e5;709,1918579;654706;7664353
id21a0becc-b100-46b3-8f27-852ca5a1fdb9;1772,206392;652421,481;7664939,973
id21e0fe61-ba24-442d-8aad-4b0cac400ba3;2877,28316;636724,489;7669388,831
id220100aa-84e3-4307-8c40-1df8ad7542d4;14,52130268;648031,311;7667226,068
id2224fac8-9f44-4642-a4a9-e04ea30d3f8d;1758,29127;652693,57;7665293,86
id22306dab-aa09-4a4c-8711-28c96e447e17;643,452449;654693;7664211
id223c573a-aac3-4176-a95b-cc7c118d31f7;11,12323982;646213;7686579
id23289962-923d-418f-acd8-1f626cbbb4ba;10,25782955;680291;7653510
id2375cfa8-2ab8-4b57-b21e-c7cd801b37ee;89,16389863;681415;7662751
id23d7dfab-9f99-4e04-9372-57396cdc2d1c;19,94955359;664560,252;7669611,645
id24049aa0-0ff5-427b-b9d4-2a25912e98cf;60,96832713;657834;7660552
id249b8b60-5a1f-4e98-9597-10c8e18d771c;36,22415319;639230;7697332
id25060637-96a4-47a5-b232-5eb29fd2c436;975,3444946;652615,42;7656938,39
id252cd173-2726-42aa-9a3c-8220433d3e73;77,56036638;631599;7684225
id2598912a-f403-4a76-9098-4a53ca1af2cc;21,35512813;639632,64;7697812,7
id25c759c7-11a2-43aa-95e0-31b773575c54;85,3639206;655578,923;7658446,71
id25e37a81-d070-446f-97b4-a864b6e250a4;39,11037729;679871,51;7663848,05
id2655a81e-0020-48ef-9dd7-36858e33371c;29,99827892;637764;7684779
id26b08bae-cb83-41f5-a2f5-abb32d79ec03;110,4840453;632907;7676926
id26b639d3-dd02-4943-8ef8-9b746c15051e;985,1663975;643896;7688263
id27115204-5766-4b23-b0d6-d8a1ab8ca26b;4860,017359;673431,819;7655958,264
id27505237-4b06-4a66-a61b-aea2e35e9c13;12,74125696;648145,18;7667534,98
id276599d9-ec03-4670-b96e-f9782dd0b9a6;124,7861734;635812;7677932
id27f97c1b-51c7-4c28-856c-1e2c16975728;293,812086;650011;7671224
id28187b85-bff5-43ff-a391-b3d02b7e3d87;26,63176875;673919;7664965
id2845e01b-b323-4d13-ba76-c1c2899be040;56,23929188;673904;7664912
id28493933-e731-46a9-b22f-a39a06b275b1;15,49951238;648011,865;7667627,968
id284d1df2-e3d4-406d-b376-91414b155c9f;1286,066935;632706;7674753
id28d91990-ff8c-44a8-8439-0ed301a8e1b7;91,48106026;651937;7662967
id28e296de-bfa4-46de-866d-e04b72666859;577,129266;659492;7672813
id2939bd5e-98fa-417c-9759-d572df64b37b;12,99992958;664725;7669467
id29fdef24-1dfe-4f70-9eec-438e7045bbd0;23,58118214;638851;7684828
id2aa28d96-930d-4f04-8417-8a15e852d261;142,51893;689866;7657469
id2aace49e-528b-416d-9796-35ae5c19cf34;19,51328048;640835;7695176
id2af5e350-943b-4c7a-ae80-e74ab9cc1794;16,20496903;647792,57;7667600,507
id2bacdc19-5bf6-44e1-8a44-6def0c663cc7;620,4229722;632466;7676662
id2c539095-43a7-4ebc-b499-18a5f232251b;1782,098484;638606;7668992
id2c6b2c17-7bc7-401e-888c-397322a07da6;33,73035805;637889;7664832
id2d293c46-969e-4398-a462-1d8937a873fe;16,48511706;647847,25;7667814,94
id2d5a9d4d-834c-418b-a254-a543970510a6;1956,927279;634451,489;7673752,365
id2d6f394b-9e1f-4eaa-b7af-646afe2f11b5;374,8723397;656772;7651585
id2dad4d0c-ede8-456f-af35-b4b4234180f7;6,533414136;647276;7654436
id2dcb53ba-ded1-489d-8cfd-7a4e29014e97;252,6331843;633499;7677239
id2de2e3fc-f24c-444f-8a4a-99e8130dccf4;2179,711086;631975;7674237
id2dfb71b4-b0f5-43ff-bd2f-b051b3f4f75e;17,60271824;640135;7698158
id2ea1720f-224c-4e5a-9446-47a5f4dd4b58;3,324247244;650537;7663615
id2ea546f5-4966-4ca1-a575-250f3d64fdab;35,53958856;645594;7687498
id2f3009f3-81dc-42bb-820e-acfa2d1da9f4;472,4895168;645625,704;7676910,545
id2f8ec729-b20e-45fc-bd04-8963514f96b3;19,34909824;648163,309;7667912,872
id2f926d7f-2d10-40e1-9a49-795bd969024f;18,12303387;647847,558;7667397,31
id2fb33f8f-f15c-4d7a-ab34-92bc0b90f977;35,7191862;659016;7673209
id2fb35cde-11f0-4a36-92aa-bf9b871a112d;118,4292078;686797,7;7660320,34
id30ff8f7c-5eca-4927-9424-15256e1a4d7d;1251,631406;660877;7656858
id31039c8d-1eaa-4780-8ad1-7b31ac2da30b;18,9611958;645029;7662709
id3165d63f-0e53-4d01-9239-f689fc400000;15,83812982;670503;7660194
id31ba9cff-1da4-4969-a1a7-1ce90fad2de9;1653,162766;646913;7652824
id31ebd18f-2a59-432f-a4d5-dad2222832d0;17,1194835;639771;7692035
id32292173-9470-486c-ba0b-b1f99391b83c;17,50886779;648075,41;7667699,94
id3231a052-c122-4dc5-b127-2332b4042ec7;34,25071238;632997,561;7676962,22
id32391f33-24a4-4701-b7f2-de4ac475f8ef;15,66608434;647586;7658744
id3270c7bf-c5c4-4f01-92bb-c457b0e9f560;36,09060799;645455,973;7663966,332
id32955112-ae53-4a9d-b273-fc2c0bb3509e;2237,452083;690004;7647169
id33216ebd-8829-4036-88bb-992c33de2eb8;17,20611014;679013,04;7658401,55
id33429c20-407c-4fd1-98ab-b09eab1d8050;19,57433798;683064,259;7661723,118
id33a65483-7da5-4249-9da8-470df9baea54;1123,546799;652367,929;7656904,288
id33b9a917-926f-4b1a-a51b-a4a6edca60be;19,3312931;639015,75;7695340,472
id33ba4016-caec-4cec-82a9-672a7e0fa45b;5277,268703;701399;7655871
id33c6d4e3-ae04-4421-8685-caaa535c1b34;1031,608805;652525,51;7656918,16
id33cbff82-ef0e-48f2-bfa3-669a7347c67d;13,48665386;679536;7663777
id3453eec2-283d-4e81-b450-ac260b55fddf;63,74532541;679359;7663627
id345dc056-0542-434a-8b32-8360ded670be;1117,627841;652248;7657005
id34867ffc-44b1-433c-888c-a566d2d454a1;18,02193439;640793;7681598
id349e637f-3cad-4e77-ae61-e4bf2d1ab99f;17,94777001;647930,645;7667217,402
id3562bc13-306d-4f35-bbf3-5fc2fe82bb6d;204,3545766;656330,39;7671590
id35ba8fd8-8067-4715-b773-138bbc4852fa;12,59814182;639452;7697601
id35c0971f-10b4-470f-977f-380fc9879cd3;11,09608073;679442;7656184
id35c6786d-ab84-4cfd-9f88-7d7fdb70e2a4;42,5265673;640521;7694720
id35d4e05b-83e0-458f-9018-fa49297ff0c5;22,39657187;686667;7659977
id35dca27f-a50b-42d6-abbf-6c75a11d2dc8;19,61656515;648019,91;7667446,44
id35e74dc1-d81d-4430-b88f-c237775450e1;12,28793899;647845,134;7667718,254
id35e9efa1-29e8-4ebc-a81b-925d16817e62;1327,459344;660946;7656800
id35eba82d-affc-4177-92ab-d8f004877164;16,34105758;640112;7698216
id35fba4c7-f535-45b8-b591-8172e2018c56;107,385823;648479,22;7657058,41
id36007e0f-0c42-4ca1-ac84-5367e88f6aa0;16,62378826;648145,686;7667947,9
id3630bb9b-1949-4247-b102-7ca483febc3a;53,64226048;639507;7690187
id36439a35-1534-4592-9f90-adb95f08bc67;29,1039516;684817;7659429
id36a08971-c904-4b88-9671-6e2c7e6994f7;94,48073472;675464;7660800
id36af93e1-bc4d-48e8-b986-13cc1143db68;14,5332608;684060;7660151
id36d66286-9112-40d2-88a6-5287754b58e6;245,5221324;683455;7661215
id37803614-6e52-4434-b9cb-f6e1e86f60ff;338,0613794;645561;7662922
id378221ef-eb7c-4ed9-9a57-1a26e3ed07f1;1007,245021;660634;7656884
id378479a6-e293-4fbf-86c8-2c3a9bbd5ca3;1650,145446;687482;7649747
id380bb647-329c-485e-99bd-bcdc2cae464e;2481,3353;636906;7669034
id380ec883-51e8-45b9-bdeb-ed7427d02cf3;23,73613871;653017;7671923
id381e9412-2765-405e-a8ce-c84e97e72b77;36,16557671;684769;7659481
id38454619-1422-4023-8b9d-e5b185fdbe4b;554,4326085;647668,038;7673596,48
id385840ee-eb21-483b-b970-e0efbcc69556;12,97427959;645120,291;7663503,301
id386fb7c1-eb5a-48b1-a4f7-b58635ff8c74;38,57552778;667379;7658979
id387b99b7-266f-4b4e-b28c-e785941a3455;15,53065059;648295,72;7667756,53
id3889d50c-d0ed-4dd6-ba89-6cab16f4f4f7;35,65471993;639651,92;7690934,32
id393ff155-59cb-491b-9c5d-acaab89cf9ca;351,965728;641109,245;7695943,839
id395b152f-00b6-4b11-a709-8664d79ce69e;175,1363285;672329,434;7662409,748
id398b80c3-062b-49da-b683-ad22733b935f;16,32660187;636112;7678200
